B46,37.4,-9.9,1.3,37.4,10,172,25.8,-25.4,-3.4,-6,,B190,37.2,-8.3,0.8,37.2,8.3,174.1,55.3,-54.7,-8,2.3,,B71,37.5,-7.1,0,37.5,7.1,179.5,40.6,-40.4,-4,1.8
B47,37.9,-9.4,-1.6,37.9,9.5,189.6,25.1,-24.9,-2.9,-6,,B191,37.2,-7.9,-1,37.2,7.9,187.6,55.2,-54.6,-7.7,0.6,,B72,37.7,-7.6,-0.1,37.7,7.6,181,40.4,-40.2,-4.4,1.6
B48,36.8,-8.4,-3.9,36.8,9.3,205,26,-25.9,-2.1,-5,,B192,36.9,-7.5,-1.8,36.9,7.8,193.7,55.5,-55,-7.4,-0.1,,B73,36.9,-7.5,-1.8,36.9,7.8,193.7,41.2,-40.9,-4.4,0.1
B49,34.9,-4.8,-8.5,34.9,9.8,240.3,28.3,-27.6,1.1,-1,,B193,35.7,-5.3,-4.9,35.7,7.3,222.8,56.4,-56,-5.4,-2.9,,B74,36.2,-5.5,-3.1,36.2,6.4,209.7,41.6,-41.5,-2.6,-1
B50,35.8,-2.7,-8,35.8,8.5,250.9,27.5,-26.8,2.9,1,,B194,36.6,-4.4,-3.9,36.6,5.8,221.4,55.5,-55.2,-4.5,-1.9,,B75,36.9,-5.4,-3.2,36.9,6.3,210.9,41,-40.9,-2.4,-1
B51,37.3,-0.8,-7.5,37.3,7.5,263.9,26.4,-25.4,4.7,2,,B195,37,-3.7,-3.7,37,5.3,225.4,55.1,-54.9,-3.9,-1.8,,B76,36.6,-3.7,-3.7,36.6,5.3,224.7,41.2,-41.1,-1,-1.5
B52,36.6,-0.9,-4,36.6,4.1,256.2,26.6,-26.1,4.6,5,,B196,36.7,-2.9,-1.6,36.7,3.3,209.2,55.2,-55.1,-3.2,0,,B77,36.6,-4.1,-1.9,36.6,4.5,204.8,41.2,-41.2,-1.3,0
B53,25,-4.2,0.9,25,4.3,167.8,36.6,-36.5,1.7,7,,B197,25,-4.2,0.9,25,4.3,167.8,65.8,-65.6,-4.3,2.3,,B78,24.9,-3.4,-0.5,24.9,3.4,189.3,51.7,-51.7,-0.7,1.3
B54,24.3,-1.3,1.9,24.3,2.3,125,37.5,-37.1,4.2,6,,B198,24.7,-2.2,1.5,24.7,2.7,146.3,66,-65.9,-2.6,2.9,,B79,24.6,-1.5,0,24.6,1.5,179.8,52,-51.9,1,1.8
B55,25.4,-2.9,2.8,25.4,4.1,135.4,36.5,-36.2,2.8,7,,B199,25.4,-2.9,2.8,25.4,4.1,135.4,65.5,-65.3,-3.2,4.1,,B80,25.3,-2.1,1.3,25.3,2.5,147.8,51.4,-51.4,0.4,3
B56,25.9,-4.5,3.9,25.9,6,138.5,36.1,-35.7,1.4,3,,B200,25.9,-4.5,3.9,25.9,6,138.5,65.2,-64.9,-4.6,5.1,,B81,25.8,-3.7,2.4,25.8,4.5,146.9,51.1,-50.9,-1,4
B57,25.8,-5.5,3.7,25.8,6.6,145.7,36.2,-35.8,0.5,0,,B201,25.9,-4.5,3.9,25.9,6,138.5,65.2,-64.9,-4.6,5.1,,B82,25.6,-4.7,2.2,25.6,5.2,154.9,51.2,-51,-1.9,3.8
B58,25,-6,2.1,25,6.4,160,36.7,-36.5,0,-2,,B202,25.1,-4.9,2.4,25.1,5.5,154,65.8,-65.5,-5,3.7,,B83,25.5,-5.8,2,25.5,6.1,160.9,51.3,-51.1,-2.8,3.6
